ISLAND,YEAR,STRATA,DEPTH_M,TotFish
Baker,2001,Forereef, 11.8 ,16.6638656
Baker,2001,Forereef, 10.2 ,8.462997383
Baker,2002,Forereef, 14.5 ,57.14412049
Baker,2002,Forereef, 15.4 ,8.023870475
Baker,2004,Forereef, 14.2 ,63.27849521
Baker,2004,Forereef, 14.1 ,41.25864658
Baker,2004,Forereef, 14.1 ,32.5074494
Baker,2004,Forereef, 16.1 ,48.75307772
Baker,2004,Forereef, 9.2 ,40.68351668
Baker,2004,Forereef, 6.5 ,3.253963417
Baker,2004,Forereef, 19.0 ,53.87241922
Baker,2004,Forereef, 11.0 ,4.504463574
Baker,2006,Forereef, 19.8 ,10.03242424
Baker,2006,Forereef, 16.5 ,31.79919581
Baker,2006,Forereef, 15.4 ,3.957225144
Baker,2006,Forereef, 15.3 ,16.63702848
Baker,2006,Forereef, 13.0 ,2.660325561
Baker,2006,Forereef, 6.2 ,17.42841892
Baker,2006,Forereef, 6.1 ,1.145018792
Baker,2006,Forereef, 8.7 ,8.876454657
Baker,2006,Forereef, 14.5 ,2.37164058
Baker,2006,Forereef, 6.6 ,29.62806348
Baker,2008,Forereef, 13.2 ,6.22971182
Baker,2008,Forereef, 17.6 ,5.803160631
Baker,2008,Forereef, 16.2 ,78.0908154
Baker,2008,Forereef, 15.2 ,52.96879911
Baker,2008,Forereef, 15.2 ,29.58350152
Baker,2008,Forereef, 15.4 ,4.913571823
Baker,2008,Forereef, 15.5 ,38.18206029
Baker,2008,Forereef, 14.6 ,6.157727212
Baker,2010,Forereef, 16.6 ,18.81628854
Baker,2010,Forereef, 12.6 ,1.958791058
Baker,2010,Forereef, 13.7 ,31.66952086
Baker,2010,Forereef, 14.6 ,6.769891019
Baker,2010,Forereef, 8.3 ,6.904977313
Baker,2010,Forereef, 13.5 ,2.532983908
Baker,2010,Forereef, 13.0 ,23.75913883
Baker,2010,Forereef, 16.1 ,7.037020814
Baker,2010,Forereef, 15.5 ,24.25978366
Baker,2012,Forereef, 15.9 ,37.1544868
Baker,2012,Forereef, 14.3 ,116.3823047
Baker,2012,Forereef, 14.7 ,20.53906021
Baker,2012,Forereef, 14.6 ,18.6536647
Baker,2012,Forereef, 10.5 ,295.4917808
Baker,2012,Forereef, 16.0 ,59.71474543
Baker,2012,Forereef, 16.3 ,41.74351966
Baker,2012,Forereef, 14.8 ,10.98457803
Baker,2012,Forereef, 17.7 ,32.62950165
Baker,2012,Forereef, 16.2 ,76.89697669
Baker,2015,Forereef, 16.1 ,29.7061301
Baker,2015,Forereef, 14.2 ,20.81956766
Baker,2015,Forereef, 15.3 ,24.65358124
Baker,2015,Forereef, 16.0 ,37.19302334
Baker,2015,Forereef, 15.9 ,15.48396724
Howland,2001,Forereef, 13.3 ,13.41207897
Howland,2001,Forereef, 11.7 ,18.55751902
Howland,2002,Forereef, 9.4 ,41.27476973
Howland,2002,Forereef, 9.4 ,26.7521052
Howland,2002,Forereef, 8.1 ,23.64794308
Howland,2002,Forereef, 13.0 ,38.97369274
Howland,2004,Forereef, 11.4 ,81.01257042
Howland,2004,Forereef, 8.1 ,30.91464998
Howland,2004,Forereef, 13.2 ,28.42491174
Howland,2004,Forereef, 15.2 ,50.55766855
Howland,2004,Forereef, 17.6 ,19.10725202
Howland,2004,Forereef, 12.2 ,44.91829771
Howland,2004,Forereef, 17.1 ,91.88567923
Howland,2004,Forereef, 17.2 ,19.8738764
Howland,2004,Forereef, 9.6 ,31.24244357
Howland,2006,Forereef, 20.5 ,25.63716266
Howland,2006,Forereef, 17.7 ,78.55723264
Howland,2006,Forereef, 16.3 ,70.07019278
Howland,2006,Forereef, 14.3 ,38.44945289
Howland,2006,Forereef, 12.1 ,29.95968153
Howland,2006,Forereef, 14.3 ,49.0129572
Howland,2006,Forereef, 16.9 ,33.35747291
Howland,2008,Forereef, 12.7 ,325.1722177
Howland,2008,Forereef, 12.5 ,11.60058026
Howland,2008,Forereef, 13.4 ,12.96150402
Howland,2008,Forereef, 15.5 ,3.156861026
Howland,2008,Forereef, 14.2 ,61.68541255
Howland,2008,Forereef, 15.5 ,7.508934205
Howland,2008,Forereef, 15.8 ,11.807408
Howland,2010,Forereef, 14.2 ,11.39062279
Howland,2010,Forereef, 15.1 ,11.14265547
Howland,2010,Forereef, 13.0 ,7.169994864
Howland,2010,Forereef, 13.7 ,14.27165921
Howland,2010,Forereef, 13.8 ,9.680711492
Howland,2010,Forereef, 15.2 ,5.960260061
Howland,2010,Forereef, 16.1 ,11.88063215
Howland,2010,Forereef, 23.8 ,12.55086704
Howland,2010,Forereef, 16.3 ,25.81858166
Howland,2010,Forereef, 15.1 ,3.432601474
Howland,2010,Forereef, 14.5 ,8.767501888
Howland,2012,Forereef, 15.4 ,41.99528118
Howland,2012,Forereef, 12.8 ,64.58340615
Howland,2012,Forereef, 14.3 ,33.1644135
Howland,2012,Forereef, 15.5 ,14.73162465
Howland,2012,Forereef, 12.8 ,57.86946733
Howland,2012,Forereef, 14.0 ,16.45340839
Howland,2012,Forereef, 13.6 ,8.577671412
Howland,2012,Forereef, 15.1 ,14.36065863
Howland,2012,Forereef, 14.0 ,11.67625467
Howland,2012,Forereef, 15.8 ,10.95525196
Howland,2012,Forereef, 6.1 ,121.4530228
Howland,2015,Forereef, 13.5 ,29.3303084
Howland,2015,Forereef, 14.0 ,19.1310721
Howland,2015,Forereef, 13.6 ,14.607867
Howland,2015,Forereef, 16.7 ,6.276042499
Howland,2015,Forereef, 13.8 ,13.64492753
Jarvis,2001,Forereef, 11.5 ,17.98190533
Jarvis,2001,Forereef, 10.3 ,25.3753319
Jarvis,2002,Forereef, 10.6 ,67.09260173
Jarvis,2002,Forereef, 9.9 ,16.98887213
Jarvis,2002,Forereef, 7.7 ,9.415842692
Jarvis,2002,Forereef, 8.5 ,31.62903627
Jarvis,2004,Forereef, 12.1 ,29.33943154
Jarvis,2004,Forereef, 12.1 ,49.33864782
Jarvis,2004,Forereef, 13.3 ,39.1054359
Jarvis,2004,Forereef, 11.8 ,114.6018204
Jarvis,2004,Forereef, 8.5 ,24.00996582
Jarvis,2004,Forereef, 9.7 ,41.85360234
Jarvis,2004,Forereef, 17.3 ,84.563454
Jarvis,2004,Forereef, 16.4 ,14.48379359
Jarvis,2004,Forereef, 15.4 ,649.7827406
Jarvis,2004,Forereef, 9.4 ,5.965731163
Jarvis,2004,Forereef, 3.8 ,357.7849672
Jarvis,2006,Forereef, 15.4 ,153.2263931
Jarvis,2006,Forereef, 11.2 ,147.7850416
Jarvis,2006,Forereef, 10.0 ,117.1051937
Jarvis,2006,Forereef, 17.2 ,344.3999671
Jarvis,2006,Forereef, 16.5 ,184.044056
Jarvis,2006,Forereef, 21.2 ,107.0425824
Jarvis,2006,Forereef, 12.4 ,20.8406183
Jarvis,2006,Forereef, 8.5 ,10.99348368
Jarvis,2006,Forereef, 15.2 ,11.53365148
Jarvis,2006,Forereef, 14.4 ,117.5121149
Jarvis,2006,Forereef, 10.5 ,29.57040359
Jarvis,2006,Forereef, 6.7 ,25.99315877
Jarvis,2008,Forereef, 15.8 ,35.17700797
Jarvis,2008,Forereef, 14.5 ,75.15325575
Jarvis,2008,Forereef, 13.6 ,31.98844215
Jarvis,2008,Forereef, 14.2 ,12.45559949
Jarvis,2008,Forereef, 16.0 ,37.13835378
Jarvis,2008,Forereef, 14.8 ,11.35430821
Jarvis,2008,Forereef, 11.7 ,51.17176255
Jarvis,2008,Forereef,-999.0 ,6.052321636
Jarvis,2008,Forereef,-999.0 ,55.58679556
Jarvis,2008,Forereef,-999.0 ,6.444117182
Jarvis,2008,Forereef,-999.0 ,14.48700728
Jarvis,2008,Forereef, 7.5 ,3.891597476
Jarvis,2008,Forereef, 8.4 ,5.02717278
Jarvis,2008,Forereef, 9.0 ,3.131866482
Jarvis,2008,Forereef, 21.5 ,33.85397445
Jarvis,2008,Forereef, 20.4 ,46.61640986
Jarvis,2008,Forereef, 24.5 ,20.60838596
Jarvis,2010,Forereef, 13.2 ,44.01109724
Jarvis,2010,Forereef, 16.9 ,425.8657652
Jarvis,2010,Forereef, 18.7 ,57.49149814
Jarvis,2010,Forereef, 11.2 ,195.0178537
Jarvis,2010,Forereef, 15.9 ,52.82414642
Jarvis,2010,Forereef, 14.3 ,31.73194434
Jarvis,2010,Forereef, 15.0 ,75.95381054
Jarvis,2010,Forereef, 14.9 ,196.5432259
Jarvis,2010,Forereef, 11.6 ,71.8880567
Jarvis,2010,Forereef, 9.2 ,25.84523227
Jarvis,2012,Forereef, 14.8 ,25.20889513
Jarvis,2012,Forereef, 11.5 ,31.41019521
Jarvis,2012,Forereef, 10.3 ,52.10126728
Jarvis,2012,Forereef, 12.3 ,38.20173817
Jarvis,2012,Forereef, 14.6 ,10.67862977
Jarvis,2012,Forereef, 11.6 ,4.148997565
Jarvis,2012,Forereef, 14.0 ,37.34517494
Jarvis,2015,Forereef, 14.2 ,52.299317
Jarvis,2015,Forereef, 11.7 ,53.1205581
Jarvis,2015,Forereef, 11.9 ,14.73945884
Jarvis,2015,Forereef, 14.8 ,58.80836024
Jarvis,2015,Forereef, 11.4 ,59.02286987
Jarvis,2015,Forereef, 13.7 ,56.59412749
Johnston,2004,Forereef, 14.6 ,10.08634726
Johnston,2004,Forereef, 15.3 ,4.35776012
Johnston,2004,Forereef, 19.3 ,2.841852042
Johnston,2004,Forereef, 16.5 ,0.106448194
Johnston,2004,Forereef, 16.8 ,0.320946588
Johnston,2004,Forereef, 19.2 ,7.484971741
Johnston,2004,Forereef, 19.9 ,0.201374022
Johnston,2004,Forereef, 19.4 ,0.533128185
Johnston,2004,Forereef, 15.0 ,33.07560934
Johnston,2004,Forereef, 11.1 ,3.21742762
Johnston,2004,Forereef, 14.3 ,42.44138362
Johnston,2004,Forereef, 16.8 ,17.4700066
Johnston,2004,Forereef, 23.2 ,1.60616442
Johnston,2004,Forereef, 12.9 ,1.198837211
Johnston,2004,Forereef, 16.6 ,17.49986866
Johnston,2006,Forereef, 15.7 ,32.9232931
Johnston,2006,Forereef, 16.7 ,4.191168125
Johnston,2006,Forereef, 15.8 ,12.50849232
Johnston,2006,Forereef, 17.2 ,7.314605262
Johnston,2006,Forereef, 14.4 ,0.941849142
Johnston,2006,Forereef, 17.5 ,5.514439104
Johnston,2006,Forereef, 14.4 ,0.299454493
Johnston,2006,Forereef, 14.1 ,0.218007171
Johnston,2006,Forereef, 16.0 ,0.225993026
Johnston,2006,Forereef, 21.2 ,0.163411956
Johnston,2006,Forereef, 14.3 ,5.757204179
Johnston,2006,Forereef, 23.2 ,88.79894598
Johnston,2008,Forereef, 14.5 ,26.75088501
Johnston,2008,Forereef, 14.9 ,2.317896746
Johnston,2008,Forereef, 14.7 ,1.178463379
Johnston,2008,Forereef, 14.9 ,3.953397527
Johnston,2008,Forereef, 14.2 ,2.326050155
Johnston,2008,Forereef, 14.3 ,1.885099918
Johnston,2008,Forereef, 18.4 ,0.17590609
Johnston,2008,Forereef, 17.2 ,1.614764807
Johnston,2010,Forereef, 15.8 ,16.21991775
Johnston,2010,Forereef, 15.4 ,12.45548873
Johnston,2010,Forereef, 15.1 ,1.028647624
Johnston,2010,Forereef, 15.1 ,2.818442963
Johnston,2010,Forereef, 15.7 ,1.304087833
Johnston,2010,Forereef, 14.3 ,2.996626588
Johnston,2010,Forereef, 16.5 ,0
Johnston,2010,Forereef, 14.5 ,1.775917739
Johnston,2010,Forereef, 15.2 ,1.25258613
Johnston,2010,Forereef, 14.3 ,1.710511089
Johnston,2010,Forereef, 21.2 ,0.440724018
Johnston,2012,Forereef, 14.2 ,2.513058774
Johnston,2012,Forereef, 13.7 ,3.220727026
Johnston,2012,Forereef, 15.0 ,1.365358647
Johnston,2012,Forereef, 14.4 ,1.835833165
Johnston,2012,Forereef, 14.3 ,2.992071284
Johnston,2012,Forereef, 12.9 ,1.406368974
Johnston,2012,Forereef, 13.6 ,3.867782571
Johnston,2012,Forereef, 15.2 ,3.092800232
Johnston,2012,Forereef, 21.8 ,1.748923011
Johnston,2015,Forereef, 17.4 ,0.271965311
Johnston,2015,Forereef, 14.3 ,2.684810483
Johnston,2015,Forereef, 17.5 ,1.066051542
Johnston,2015,Forereef, 15.0 ,1.756397128
Johnston,2015,Forereef, 15.7 ,1.926259116
Johnston,2015,Forereef, 17.0 ,0.37792308
Johnston,2015,Forereef, 14.1 ,0.643778439
Johnston,2015,Forereef, 16.0 ,0.461448305
Johnston,2015,Forereef, 17.3 ,0.52638662
Johnston,2015,Forereef, 14.1 ,0.876671923
Johnston,2015,Forereef, 15.1 ,0.289780827
Johnston,2015,Forereef, 14.8 ,3.089917849
Johnston,2015,Forereef, 18.1 ,0.268411018
Johnston,2015,Forereef, 17.1 ,0.20643677
Kingman,2001,Forereef, 7.4 ,6.160871775
Kingman,2001,Forereef, 11.2 ,4.587711665
Kingman,2001,Forereef, 6.8 ,57.83870993
Kingman,2002,Forereef, 7.2 ,64.44474269
Kingman,2002,Forereef, 10.1 ,45.89622858
Kingman,2002,Forereef, 9.0 ,33.59238147
Kingman,2002,Forereef, 11.0 ,10.48625209
Kingman,2002,Forereef, 15.5 ,6.512468767
Kingman,2002,Forereef, 13.0 ,17.18763612
Kingman,2002,Forereef,-999.0 ,18.36956404
Kingman,2004,Forereef, 8.4 ,42.18897663
Kingman,2004,Forereef, 10.0 ,22.78020677
Kingman,2004,Forereef, 10.4 ,27.09175714
Kingman,2004,Forereef, 12.5 ,14.91934572
Kingman,2004,Forereef, 12.7 ,3.72075625
Kingman,2004,Forereef, 14.5 ,13.21982069
Kingman,2004,Forereef, 11.5 ,11.03732233
Kingman,2004,Forereef, 8.2 ,13.2080931
Kingman,2004,Forereef, 13.0 ,77.76876682
Kingman,2004,Forereef, 10.7 ,12.56213311
Kingman,2004,Forereef, 10.6 ,28.46537969
Kingman,2004,Forereef, 15.5 ,0
Kingman,2004,Forereef, 12.9 ,1.636726268
Kingman,2004,Forereef, 11.1 ,19.88188479
Kingman,2004,Forereef, 9.2 ,5.969788437
Kingman,2004,Forereef, 7.1 ,16.30899276
Kingman,2004,Forereef, 3.5 ,2.204825031
Kingman,2004,Forereef, 1.9 ,7.805755699
Kingman,2006,Forereef, 15.5 ,154.5528879
Kingman,2006,Forereef, 15.2 ,21.39303373
