"","year","island","biomass","SE","group"
"1",2010,"Baker",13.6431467078739,2.13207522473542,"Prim. cons."
"2",2012,"Baker",25.598317779832,4.00885896323336,"Prim. cons."
"3",2015,"Baker",23.559689170504,4.76315297234579,"Prim. cons."
"4",2010,"Howland",10.8434383300717,1.09934098303901,"Prim. cons."
"5",2012,"Howland",20.914626416756,2.53787689237486,"Prim. cons."
"6",2015,"Howland",16.2893222781499,2.0352225408024,"Prim. cons."
"7",2010,"Jarvis",27.0729735143614,1.84706340236854,"Prim. cons."
"8",2012,"Jarvis",46.1217315985846,5.13669656961798,"Prim. cons."
"9",2015,"Jarvis",27.7689286768306,2.56553949321845,"Prim. cons."
"10",2010,"Johnston",24.0443730082187,6.47613276852508,"Prim. cons."
"11",2012,"Johnston",24.1189663025093,7.45331729079858,"Prim. cons."
"12",2015,"Johnston",31.5643365127559,5.4220667681588,"Prim. cons."
"13",2010,"Kingman",22.2196509614949,3.29251585404758,"Prim. cons."
"14",2012,"Kingman",47.6285340513704,26.5096080005973,"Prim. cons."
"15",2015,"Kingman",15.2324093331301,1.44795242181529,"Prim. cons."
"16",2010,"Palmyra",99.6905224580932,46.2759413266395,"Prim. cons."
"17",2012,"Palmyra",34.2827505929815,4.39868340437696,"Prim. cons."
"18",2015,"Palmyra",17.0716922999537,1.28042202890778,"Prim. cons."
"19",2009,"Wake",18.3235011896215,2.41284106223569,"Prim. cons."
"20",2011,"Wake",26.002043571024,2.36949494958307,"Prim. cons."
"21",2014,"Wake",28.9939940981479,5.26744116967076,"Prim. cons."
"22",2010,"Baker",9.8230794757817,1.98451980682232,"Sec. cons."
"23",2012,"Baker",11.7847380658001,0.90532425441243,"Sec. cons."
"24",2015,"Baker",21.769611965305,6.29050721305745,"Sec. cons."
"25",2010,"Howland",11.9822372750157,2.49682518462556,"Sec. cons."
"26",2012,"Howland",18.0755853615603,3.03554322239955,"Sec. cons."
"27",2015,"Howland",16.0101407713955,2.18160485055338,"Sec. cons."
"28",2010,"Jarvis",15.9401919769681,1.83113358037833,"Sec. cons."
"29",2012,"Jarvis",24.3944266374626,4.56285199446304,"Sec. cons."
"30",2015,"Jarvis",14.4667978581732,1.16529340375956,"Sec. cons."
"31",2010,"Johnston",5.19494174978459,1.17711415516252,"Sec. cons."
"32",2012,"Johnston",8.64584808720757,2.53062783757211,"Sec. cons."
"33",2015,"Johnston",8.1457850302098,2.00039371459853,"Sec. cons."
"34",2010,"Kingman",11.6201603061531,2.70616593027229,"Sec. cons."
"35",2012,"Kingman",18.897619805777,3.14996936715616,"Sec. cons."
"36",2015,"Kingman",8.2228863685075,0.536690457848041,"Sec. cons."
"37",2010,"Palmyra",16.4086591262102,3.08763111382636,"Sec. cons."
"38",2012,"Palmyra",38.2167026138378,9.03111041622013,"Sec. cons."
"39",2015,"Palmyra",17.5472359004035,3.96770222314055,"Sec. cons."
"40",2009,"Wake",77.5107367818838,60.7753242995336,"Sec. cons."
"41",2011,"Wake",17.9709554684889,7.36562653858449,"Sec. cons."
"42",2014,"Wake",7.85450801025577,1.14681733463032,"Sec. cons."
"43",2010,"Baker",25.5423877301378,6.0074138284359,"Planktivores"
"44",2012,"Baker",30.2531775096267,7.68033768784798,"Planktivores"
"45",2015,"Baker",45.1165198173825,11.5890269291279,"Planktivores"
"46",2010,"Howland",44.4613209350404,13.6696143341157,"Planktivores"
"47",2012,"Howland",35.9848976143925,5.0139781433908,"Planktivores"
"48",2015,"Howland",48.6583251661254,6.57684112517768,"Planktivores"
"49",2010,"Jarvis",28.4580427795476,5.42852667890174,"Planktivores"
"50",2012,"Jarvis",58.4233481511754,11.0612378625845,"Planktivores"
"51",2015,"Jarvis",43.1799705228313,5.51704778076374,"Planktivores"
"52",2010,"Johnston",8.45991725878875,3.39207583963716,"Planktivores"
"53",2012,"Johnston",19.6964307152421,6.39589135631836,"Planktivores"
"54",2015,"Johnston",25.1616014594597,9.11410309203833,"Planktivores"
"55",2010,"Kingman",75.9490987704292,21.2165011503084,"Planktivores"
"56",2012,"Kingman",43.5439657649603,10.7310037655138,"Planktivores"
"57",2015,"Kingman",44.0823309119138,8.91142168471193,"Planktivores"
"58",2010,"Palmyra",27.1601750522253,7.46251196086088,"Planktivores"
"59",2012,"Palmyra",41.7408075064652,10.461647339397,"Planktivores"
"60",2015,"Palmyra",11.4122775684261,2.14368609539496,"Planktivores"
"61",2009,"Wake",5.43836585959375,1.15833747506393,"Planktivores"
"62",2011,"Wake",6.99206696264983,1.66499184912498,"Planktivores"
"63",2014,"Wake",4.66999466033158,1.20886625943009,"Planktivores"
"64",2010,"Baker",45.0199528215692,23.1389174294971,"Piscivores"
"65",2012,"Baker",27.840520089805,4.54690024271911,"Piscivores"
"66",2015,"Baker",17.5119684764096,2.24025037736106,"Piscivores"
"67",2010,"Howland",22.187557137702,3.48552461802353,"Piscivores"
"68",2012,"Howland",30.2666220424811,2.42837308011887,"Piscivores"
"69",2015,"Howland",20.8313067598649,2.17660887175902,"Piscivores"
"70",2010,"Jarvis",55.0789087908474,14.9717908092454,"Piscivores"
"71",2012,"Jarvis",43.0012357325428,5.37785129534425,"Piscivores"
"72",2015,"Jarvis",28.0490195341759,2.49403227412619,"Piscivores"
"73",2010,"Johnston",7.52868955865361,2.87605478210145,"Piscivores"
"74",2012,"Johnston",10.3275011903969,3.57650074843109,"Piscivores"
"75",2015,"Johnston",9.11260396332638,3.55659203503076,"Piscivores"
"76",2010,"Kingman",42.3336935901979,5.13942976407295,"Piscivores"
"77",2012,"Kingman",48.3220276663991,5.88869099879611,"Piscivores"
"78",2015,"Kingman",38.8913069008565,3.126574380974,"Piscivores"
"79",2010,"Palmyra",28.2330631353039,4.91629589457409,"Piscivores"
"80",2012,"Palmyra",41.2538112954851,5.27808755640078,"Piscivores"
"81",2015,"Palmyra",30.1816388426281,3.8887778388669,"Piscivores"
"82",2009,"Wake",5.28199738920392,0.906558327819686,"Piscivores"
"83",2011,"Wake",5.47426688252538,0.641524109406641,"Piscivores"
"84",2014,"Wake",7.17168798203454,1.5737043704751,"Piscivores"
