year,island,TotFish,TotFishSE,group,All_TotFish,All_TotFishSE
2010,Baker,40.59049531,14.37642902,Piscivores,78.02095397,17.56264401
2012,Baker,67.58100629,24.84322098,Piscivores,126.6873523,31.30738201
2015,Baker,43.55005249,9.544119322,Piscivores,259.1451692,120.5679299
2010,Howland,27.34770603,6.535073306,Piscivores,73.18885799,14.19346699
2012,Howland,47.84647145,7.392842363,Piscivores,156.5726441,29.4240793
2015,Howland,55.44105966,8.337498073,Piscivores,274.3864811,91.07279108
2010,Jarvis,114.8068023,25.4818198,Piscivores,178.0451085,25.4395631
2012,Jarvis,131.0496192,21.78187548,Piscivores,252.5402582,27.70614226
2015,Jarvis,63.13909024,9.482496297,Piscivores,230.0944924,59.66150443
2010,Johnston,39.91984775,17.70545151,Piscivores,83.4125578,20.01070878
2012,Johnston,19.0028935,7.674445748,Piscivores,57.22802659,14.23407521
2015,Johnston,12.71017474,3.369851338,Piscivores,145.0827833,68.90923207
2010,Kingman,215.8624836,44.2933881,Piscivores,352.1430548,69.37555422
2012,Kingman,234.869007,25.42839213,Piscivores,356.7810077,46.62345414
2015,Kingman,143.6251977,17.03714509,Piscivores,224.4901402,24.92119322
2010,Palmyra,74.93050176,15.97965524,Piscivores,180.1187746,35.38585802
2012,Palmyra,77.30544866,10.10076635,Piscivores,214.8682461,33.03923092
2015,Palmyra,54.68854927,6.315080948,Piscivores,99.64047393,10.10813612
2011,Wake,7.849486652,1.036420661,Piscivores,58.02846198,6.590240803
2014,Wake,16.55027126,5.491231774,Piscivores,55.26786123,8.1436754
2010,Baker,15.78636209,3.939860198,Planktivores,,
2012,Baker,19.92594688,2.995434299,Planktivores,,
2015,Baker,170.5214239,117.6413719,Planktivores,,
2010,Howland,20.43829519,4.178546869,Planktivores,,
2012,Howland,65.79893573,29.02514228,Planktivores,,
2015,Howland,187.488724,87.67398661,Planktivores,,
2010,Jarvis,20.08624559,3.664458822,Planktivores,,
2012,Jarvis,50.01493585,10.44546152,Planktivores,,
2015,Jarvis,123.4340811,57.63914413,Planktivores,,
2010,Johnston,10.53665442,4.124870935,Planktivores,,
2012,Johnston,11.02293775,3.980702188,Planktivores,,
2015,Johnston,91.28248867,64.25534416,Planktivores,,
2010,Kingman,100.9436433,38.06514956,Planktivores,,
2012,Kingman,49.59682669,9.75676081,Planktivores,,
2015,Kingman,54.6379011,11.91924139,Planktivores,,
2010,Palmyra,19.98124366,4.405470359,Planktivores,,
2012,Palmyra,67.98171883,26.26519056,Planktivores,,
2015,Palmyra,8.790045339,1.241910168,Planktivores,,
2011,Wake,7.720073941,2.149875158,Planktivores,,
2014,Wake,4.046214255,0.823277133,Planktivores,,
2010,Baker,13.91264058,2.367891614,Prim. Cons.,,
2012,Baker,29.0397834,7.181129778,Prim. Cons.,,
2015,Baker,26.93625953,7.491623051,Prim. Cons.,,
2010,Howland,13.76273262,1.313211436,Prim. Cons.,,
2012,Howland,22.59190935,3.397844085,Prim. Cons.,,
2015,Howland,19.28369598,3.422490666,Prim. Cons.,,
2010,Jarvis,30.15283331,2.121584455,Prim. Cons.,,
2012,Jarvis,51.42463702,5.774631514,Prim. Cons.,,
2015,Jarvis,29.37621912,3.116449442,Prim. Cons.,,
2010,Johnston,27.73446274,6.70286973,Prim. Cons.,,
2012,Johnston,18.26195709,5.581306437,Prim. Cons.,,
2015,Johnston,33.80201929,5.345036121,Prim. Cons.,,
2010,Kingman,20.89750081,3.615969067,Prim. Cons.,,
2012,Kingman,54.14434135,31.93082293,Prim. Cons.,,
2015,Kingman,17.30739796,1.872825802,Prim. Cons.,,
2010,Palmyra,70.29591876,24.88333858,Prim. Cons.,,
2012,Palmyra,33.41747015,3.716458442,Prim. Cons.,,
2015,Palmyra,17.85190766,1.468394438,Prim. Cons.,,
2011,Wake,26.52630099,2.036522784,Prim. Cons.,,
2014,Wake,27.03048511,4.548185925,Prim. Cons.,,
2010,Baker,7.731455993,1.830923813,Sec. Cons.,,
2012,Baker,10.14061574,1.317036107,Sec. Cons.,,
2015,Baker,18.13743327,4.325887353,Sec. Cons.,,
2010,Howland,11.64012415,4.68995327,Sec. Cons.,,
2012,Howland,20.3353276,6.407084241,Sec. Cons.,,
2015,Howland,12.17300146,1.272356004,Sec. Cons.,,
2010,Jarvis,12.99922733,0.758029612,Sec. Cons.,,
2012,Jarvis,20.05106616,3.675586953,Sec. Cons.,,
2015,Jarvis,14.14510189,1.190568687,Sec. Cons.,,
2010,Johnston,5.22159289,1.55040439,Sec. Cons.,,
2012,Johnston,8.940238246,1.878211987,Sec. Cons.,,
2015,Johnston,7.288100597,1.524404405,Sec. Cons.,,
2010,Kingman,14.43942711,5.632229936,Sec. Cons.,,
2012,Kingman,18.17083266,2.629546123,Sec. Cons.,,
2015,Kingman,8.919643445,0.626160855,Sec. Cons.,,
2010,Palmyra,14.91111046,2.669961614,Sec. Cons.,,
2012,Palmyra,36.1636085,7.720012296,Sec. Cons.,,
2015,Palmyra,18.30997166,4.986379635,Sec. Cons.,,
2011,Wake,15.93260039,5.560738551,Sec. Cons.,,
2014,Wake,7.640890598,1.169095105,Sec. Cons.,,