"","spp","SPECIES","FAMILY","COMMONFAMILYALL","TROPHIC_MONREP","size","family","fg","habitat","Included"
"168","Chaetodon ornatissimus","CHOR","Chaetodontidae","Butterflyfish","SECONDARY",20,"Chaetodontidae","Corallivore","Reef",1
"169","Chaetodon pelewensis","CHPW","Chaetodontidae","Butterflyfish","SECONDARY",12.5,"Chaetodontidae","Micro-invertivore","Reef",1
"170","Chaetodon punctatofasciatus","CHPU","Chaetodontidae","Butterflyfish","SECONDARY",12,"Chaetodontidae","Micro-invertivore","Reef",1
"171","Chaetodon quadrimaculatus","CHQU","Chaetodontidae","Butterflyfish","SECONDARY",16,"Chaetodontidae","Micro-invertivore","Reef",1
"172","Chaetodon rafflesii","CHRA","Chaetodontidae","Butterflyfish","SECONDARY",18,"Chaetodontidae","Micro-invertivore","Reef",1
"173","Chaetodon rafflesii","CHRA","Chaetodontidae","Butterflyfish","SECONDARY",18,"Chaetodontidae","Micro-invertivore","Reef",1
"174","Chaetodon reticulatus","CHRE","Chaetodontidae","Butterflyfish","SECONDARY",18,"Chaetodontidae","Corallivore","Reef",1
"175","Chaetodon semeion","CHSE","Chaetodontidae","Butterflyfish","PRIMARY",26,"Chaetodontidae","Micro-invertivore","Reef",1
"176","Chaetodon tinkeri","CHTI","Chaetodontidae","Butterflyfish","SECONDARY",15,"Chaetodontidae","Micro-invertivore","Reef",1
"177","Chaetodon trifascialis","CHTR","Chaetodontidae","Butterflyfish","SECONDARY",18,"Chaetodontidae","Corallivore","Reef",1
"178","Chaetodon ulietensis","CHUL","Chaetodontidae","Butterflyfish","SECONDARY",15,"Chaetodontidae","Micro-invertivore","Reef",1
"179","Chaetodon unimaculatus","CHUN","Chaetodontidae","Butterflyfish","SECONDARY",20,"Chaetodontidae","Corallivore","Reef",1
"180","Chaetodon unimaculatus","CHUN","Chaetodontidae","Butterflyfish","SECONDARY",20,"Chaetodontidae","Corallivore","Reef",1
"181","Chaetodon vagabundus","CHVG","Chaetodontidae","Butterflyfish","SECONDARY",23,"Chaetodontidae","Micro-invertivore","Reef",1
"182","Chanos chanos","CHCH","Chanidae","Milkfish","PRIMARY",180,"Chanidae",NA,"Pelagic",0
"183","Cheilinus chlorourus","CHCL","Labridae","Wrasse","SECONDARY",45,"Labridae","Macro-invertivore","Reef",1
"184","Cheilinus fasciatus","CHFA","Labridae","Wrasse","SECONDARY",40,"Labridae","Macro-invertivore","Reef",1
"185","Cheilinus oxycephalus","CHOX","Labridae","Wrasse","SECONDARY",17,"Labridae","Macro-invertivore","Reef",1
"186","Cheilinus sp","CHEI","Labridae","Wrasse","SECONDARY",30,"Labridae","Macro-invertivore","Reef",1
"187","Cheilinus trilobatus","CHTL","Labridae","Wrasse","SECONDARY",45,"Labridae","Macro-invertivore","Reef",1
"188","Cheilinus undulatus","CHUD","Labridae","Wrasse","SECONDARY",229,"Labridae","Macro-invertivore","Reef",1
"189","Cheilio inermis","CHIN","Labridae","Wrasse","SECONDARY",50,"Labridae","Piscivore","Reef",1
"190","Cheilodipterus artus","CHAR","Apogonidae","Cardinalfish","SECONDARY",18.7,"Apogonidae","Planktivore","Reef",1
"191","Cheilodipterus macrodon","CHMD","Apogonidae","Cardinalfish","PISCIVORE",25,"Apogonidae","Planktivore","Reef",1
"192","Cheilodipterus quinquelineatus","CHQN","Apogonidae","Cardinalfish","SECONDARY",13,"Apogonidae","Planktivore","Reef",1
"193","Cheilodipterus sp","CHSP","Apogonidae","Cardinalfish","SECONDARY",20,"Apogonidae","Planktivore","Reef",1
"194","Chlorurus frontalis","CHFN","Scaridae","Parrotfish","PRIMARY",50,"Scaridae","Excavator/scraper","Reef",1
"195","Chlorurus japanensis","CHJA","Scaridae","Parrotfish","PRIMARY",31,"Scaridae","Excavator/scraper","Reef",1
"196","Chlorurus microrhinos","CHMC","Scaridae","Parrotfish","PRIMARY",70,"Scaridae","Excavator/scraper","Reef",1
"197","Chlorurus microrhinos","CHMC","Scaridae","Parrotfish","PRIMARY",70,"Scaridae","Excavator/scraper","Reef",1
"198","Chlorurus perspicillatus","CHPE","Scaridae","Parrotfish","PRIMARY",60.9,"Scaridae","Excavator/scraper","Reef",1
"199","Chlorurus sordidus","CHSO","Scaridae","Parrotfish","PRIMARY",40,"Scaridae","Excavator/scraper","Reef",1
"200","Chlorurus sp","CLSP","Scaridae","Parrotfish","PRIMARY",45,"Scaridae","Excavator/scraper","Reef",1
"201","Choerodon jordani","CHJO","Labridae","Wrasse","SECONDARY",17,"Labridae","Micro-invertivore","Reef",1
"202","Chromis acares","CHAC","Pomacentridae","Damselfish","PLANKTIVORE",4,"Pomacentridae","Planktivore","Reef",1
"203","Chromis agilis","CHAG","Pomacentridae","Damselfish","PLANKTIVORE",7.5,"Pomacentridae","Planktivore","Reef",1
"204","Chromis alpha","CHAL","Pomacentridae","Damselfish","PLANKTIVORE",8.5,"Pomacentridae","Planktivore","Reef",1
"205","Chromis amboinensis","CHAM","Pomacentridae","Damselfish","PRIMARY",10,"Pomacentridae","Planktivore","Reef",1
"206","Chromis atripectoralis","CHAP","Pomacentridae","Damselfish","PLANKTIVORE",12,"Pomacentridae","Planktivore","Reef",1
"207","Chromis caudalis","CHCA","Pomacentridae","Damselfish","PLANKTIVORE",7.5,"Pomacentridae","Planktivore","Reef",1
"208","Chromis fumea","CHFU","Pomacentridae","Damselfish","PLANKTIVORE",10,"Pomacentridae","Planktivore","Reef",1
"209","Chromis hanui","CHHA","Pomacentridae","Damselfish","PLANKTIVORE",6,"Pomacentridae","Planktivore","Reef",1
"210","Chromis iomelas","CHIO","Pomacentridae","Damselfish","PRIMARY",8,"Pomacentridae","Planktivore","Reef",1
"211","Chromis lepidolepis","CHLE","Pomacentridae","Damselfish","PLANKTIVORE",9,"Pomacentridae","Planktivore","Reef",1
"212","Chromis leucura","CHLC","Pomacentridae","Damselfish","PLANKTIVORE",8.5,"Pomacentridae","Planktivore","Reef",1
"213","Chromis margaritifer","CHMA","Pomacentridae","Damselfish","PLANKTIVORE",9,"Pomacentridae","Planktivore","Reef",1
"214","Chromis ovalis","CHOV","Pomacentridae","Damselfish","PLANKTIVORE",15,"Pomacentridae","Planktivore","Reef",1
"215","Chromis ternatensis","CHTE","Pomacentridae","Damselfish","PLANKTIVORE",10.5,"Pomacentridae","Planktivore","Reef",1
"216","Chromis vanderbilti","CHVA","Pomacentridae","Damselfish","PLANKTIVORE",4.5,"Pomacentridae","Planktivore","Reef",1
"217","Chromis verater","CHVE","Pomacentridae","Damselfish","PLANKTIVORE",16,"Pomacentridae","Planktivore","Reef",1
"218","Chromis viridis","CHVR","Pomacentridae","Damselfish","PLANKTIVORE",10,"Pomacentridae","Planktivore","Reef",1
"219","Chromis weberi","CHWE","Pomacentridae","Damselfish","PLANKTIVORE",13.5,"Pomacentridae","Planktivore","Reef",1
"220","Chromis xanthura","CHXA","Pomacentridae","Damselfish","PLANKTIVORE",17,"Pomacentridae","Planktivore","Reef",1
"221","Chrysiptera biocellata","CHBI","Pomacentridae","Damselfish","PRIMARY",12.5,"Pomacentridae","Grazer","Reef",1
"222","Chrysiptera biocellata","CHBI","Pomacentridae","Damselfish","PRIMARY",12.5,"Pomacentridae","Grazer","Reef",1
"223","Chrysiptera brownriggii","CHBR","Pomacentridae","Damselfish","PRIMARY",8,"Pomacentridae","Micro-invertivore","Reef",1
"224","Chrysiptera brownriggii","CHBR","Pomacentridae","Damselfish","PRIMARY",8,"Pomacentridae","Micro-invertivore","Reef",1
"225","Chrysiptera cyanea","CHCY","Pomacentridae","Damselfish","PLANKTIVORE",8.5,"Pomacentridae","Grazer","Reef",1
"226","Chrysiptera glauca","CHGL","Pomacentridae","Damselfish","PRIMARY",11.5,"Pomacentridae","Grazer","Reef",1
"227","Chrysiptera taupou","CHTA","Pomacentridae","Damselfish","PRIMARY",8,"Pomacentridae","Planktivore","Reef",1
"228","Chrysiptera traceyi","CHTY","Pomacentridae","Damselfish","PRIMARY",4.5,"Pomacentridae","Planktivore","Reef",1
"229","Cirrhilabrus exquisitus","CIEX","Labridae","Wrasse","PLANKTIVORE",12,"Labridae","Micro-invertivore","Reef",1
"230","Cirrhilabrus jordani","CIJO","Labridae","Wrasse","PLANKTIVORE",10,"Labridae","Micro-invertivore","Reef",1
"231","Cirrhilabrus katherinae","CIKA","Labridae","Wrasse","PLANKTIVORE",7.1,"Labridae","Micro-invertivore","Reef",1
"232","Cirrhilabrus punctatus","CIPU","Labridae","Wrasse","SECONDARY",13,"Labridae","Micro-invertivore","Reef",1
"233","Cirrhilabrus sp","CILB","Labridae","Wrasse","PLANKTIVORE",10,"Labridae","Micro-invertivore","Reef",1
"234","Cirrhilabrus sp","CILB","Labridae","Wrasse","PLANKTIVORE",10,"Labridae","Micro-invertivore","Reef",1
"235","Cirrhitichthys falco","CIFL","Cirrhitidae","Hawkfish","SECONDARY",7,"Cirrhitidae","Micro-invertivore","Reef",1
"236","Cirrhitichthys oxycephalus","CIOX","Cirrhitidae","Hawkfish","SECONDARY",10,"Cirrhitidae","Micro-invertivore","Reef",1
"237","Cirrhitops fasciatus","CIFA","Cirrhitidae","Hawkfish","SECONDARY",12.7,"Cirrhitidae","Micro-invertivore","Reef",1
"238","Cirrhitops hubbardi","CIHU","Cirrhitidae","Hawkfish","SECONDARY",25,"Cirrhitidae","Micro-invertivore","Reef",1
"239","Cirrhitus pinnulatus","CIPI","Cirrhitidae","Hawkfish","SECONDARY",30,"Cirrhitidae","Micro-invertivore","Reef",1
"240","Cirripectes obscurus","CIOB","Blenniidae","Blenny","PRIMARY",13.4,"Blenniidae","Detritivore","Reef",1
"241","Cirripectes polyzona","CIPO","Blenniidae","Blenny","PRIMARY",13,"Blenniidae","Detritivore","Reef",1
"242","Cirripectes sp","CISP","Blenniidae","Blenny","PRIMARY",11,"Blenniidae","Detritivore","Reef",1
"243","Cirripectes sp","CISP","Blenniidae","Blenny","PRIMARY",11,"Blenniidae","Detritivore","Reef",1
"244","Cirripectes springeri","CISR","Blenniidae","Blenny","PRIMARY",10,"Blenniidae","Detritivore","Reef",1
"245","Cirripectes stigmaticus","CIST","Blenniidae","Blenny","PRIMARY",10,"Blenniidae","Detritivore","Reef",1
"246","Cirripectes vanderbilti","CIVA","Blenniidae","Blenny","PRIMARY",10,"Blenniidae","Detritivore","Reef",1
"247","Cirripectes variolosus","CIVR","Blenniidae","Blenny","PRIMARY",8.9,"Blenniidae","Detritivore","Reef",1
"248","Coris aygula","COAY","Labridae","Wrasse","SECONDARY",120,"Labridae","Macro-invertivore","Reef",1
"249","Coris ballieui","COBA","Labridae","Wrasse","SECONDARY",30,"Labridae","Micro-invertivore","Reef",1
"250","Coris centralis","COCE","Labridae","Wrasse","SECONDARY",9.2,"Labridae","Micro-invertivore","Reef",1
"251","Coris dorsomacula","CODO","Labridae","Wrasse","SECONDARY",38,"Labridae","Micro-invertivore","Reef",1
"252","Coris flavovittata","COFL","Labridae","Wrasse","SECONDARY",50.8,"Labridae","Macro-invertivore","Reef",1
"253","Coris gaimard","COGA","Labridae","Wrasse","SECONDARY",40,"Labridae","Macro-invertivore","Reef",1
"254","Coris venusta","COVE","Labridae","Wrasse","SECONDARY",19.3,"Labridae","Micro-invertivore","Reef",1
"255","Corythoichthys flavofasciatus","COFF","Syngnathidae","Pipefishes and seahorses","PLANKTIVORE",12,"Syngnathidae","Micro-invertivore","Reef",1
"256","Ctenochaetus binotatus","CTBI","Acanthuridae","Surgeonfish","PRIMARY",22,"Acanthuridae","Detritivore","Reef",1
"257","Ctenochaetus cyanocheilus","CTCY","Acanthuridae","Surgeonfish","PRIMARY",16,"Acanthuridae","Detritivore","Reef",1
"258","Ctenochaetus flavicauda","CTFL","Acanthuridae","Surgeonfish","PRIMARY",11.8,"Acanthuridae","Detritivore","Reef",1
"259","Ctenochaetus hawaiiensis","CTHA","Acanthuridae","Surgeonfish","PRIMARY",25,"Acanthuridae","Detritivore","Reef",1
"260","Ctenochaetus marginatus","CTMA","Acanthuridae","Surgeonfish","PRIMARY",27,"Acanthuridae","Detritivore","Reef",1
"261","Ctenochaetus sp","CTSP","Acanthuridae","Surgeonfish","PRIMARY",21,"Acanthuridae","Detritivore","Reef",1
"262","Ctenochaetus striatus","CTSR","Acanthuridae","Surgeonfish","PRIMARY",26,"Acanthuridae","Detritivore","Reef",1
"263","Ctenochaetus strigosus","CTST","Acanthuridae","Surgeonfish","PRIMARY",14.6,"Acanthuridae","Detritivore","Reef",1
"264","Ctenochaetus strigosus","CTST","Acanthuridae","Surgeonfish","PRIMARY",14.6,"Acanthuridae","Detritivore","Reef",1
"265","Cymolutes lecluse","CYLE","Labridae","Wrasse","SECONDARY",17.8,"Labridae","Macro-invertivore","Reef",1
"266","Dascyllus albisella","DAAL","Pomacentridae","Damselfish","PLANKTIVORE",13,"Pomacentridae","Planktivore","Reef",1
"267","Dascyllus aruanus","DAAR","Pomacentridae","Damselfish","PLANKTIVORE",10,"Pomacentridae","Planktivore","Reef",1
"268","Dascyllus auripinnis","DAAU","Pomacentridae","Damselfish","PLANKTIVORE",11.5,"Pomacentridae","Planktivore","Reef",1
"269","Dascyllus reticulatus","DARE","Pomacentridae","Damselfish","PLANKTIVORE",9,"Pomacentridae","Planktivore","Reef",1
"270","Dascyllus trimaculatus","DATR","Pomacentridae","Damselfish","PLANKTIVORE",11,"Pomacentridae","Planktivore","Reef",1
"271","Decapterus macarellus","DEMA","Carangidae","Jack","PLANKTIVORE",46,"Carangidae","Planktivore","Pelagic",0
"272","Dendrochirus barberi","DEBA","Scorpaenidae","Scorpionfish","SECONDARY",16.5,"Scorpaenidae","Pisci-invertivore","Reef",1
"273","Diodon holocanthus","DIHO","Diodontidae","Porcupinefish","SECONDARY",50,"Diodontidae","Spongivore","Reef",1
"274","Diodon hystrix","DIHY","Diodontidae","Porcupinefish","SECONDARY",91,"Diodontidae","Spongivore","Reef",1
"275","Echidna nebulosa","ECNE","Muraenidae","Moray","SECONDARY",100,"Muraenidae","Piscivore","Reef",1
"276","Ecsenius bicolor","ECBC","Blenniidae","Blenny","PLANKTIVORE",11,"Blenniidae","Detritivore","Reef",1
"277","Ecsenius midas","ECMI","Blenniidae","Blenny","PLANKTIVORE",13,"Blenniidae","Detritivore","Reef",1
"278","Ecsenius opsifrontalis","ECOP","Blenniidae","Blenny","PLANKTIVORE",5,"Blenniidae","Detritivore","Reef",1
"279","Elagatis bipinnulata","ELBI","Carangidae","Jack","PISCIVORE",180,"Carangidae","Piscivore","Reef",1
"280","Elagatis bipinnulata","ELBI","Carangidae","Jack","PISCIVORE",180,"Carangidae","Piscivore","Reef",1
"281","Enchelycore pardalis","ENPA","Muraenidae","Moray","PISCIVORE",92,"Muraenidae","Piscivore","Reef",1
"282","Enchelynassa canina","ENCA","Muraenidae","Moray","PISCIVORE",250,"Muraenidae","Piscivore","Reef",1
"283","Encrasicholina purpurea","ENPU","Engraulidae","Anchovy","PLANKTIVORE",7.5,"Engraulidae",NA,"Pelagic",0
"284","Epibulus insidiator","EPIN","Labridae","Wrasse","SECONDARY",54,"Labridae","Pisci-invertivore","Reef",1
"285","Epinephelus fasciatus","EPFA","Serranidae","Grouper","PISCIVORE",40,"Serranidae","Piscivore","Reef",1
"286","Epinephelus hexagonatus","EPHE","Serranidae","Grouper","PISCIVORE",27.5,"Serranidae","Piscivore","Reef",1
"287","Epinephelus howlandi","EPHO","Serranidae","Grouper","PISCIVORE",55,"Serranidae","Piscivore","Reef",1
"288","Epinephelus lanceolatus","EPLA","Serranidae","Grouper","PISCIVORE",270,"Serranidae","Piscivore","Reef",1
"289","Epinephelus macrospilos","EPMC","Serranidae","Grouper","PISCIVORE",51,"Serranidae","Piscivore","Reef",1
"290","Epinephelus maculatus","EPMA","Serranidae","Grouper","PISCIVORE",60.5,"Serranidae","Piscivore","Reef",1
"291","Epinephelus melanostigma","EPML","Serranidae","Grouper","PISCIVORE",35,"Serranidae","Piscivore","Reef",1
"292","Epinephelus merra","EPME","Serranidae","Grouper","PISCIVORE",32,"Serranidae","Piscivore","Reef",1
"293","Epinephelus polyphekadion","EPPO","Serranidae","Grouper","PISCIVORE",90,"Serranidae","Piscivore","Reef",1
"294","Epinephelus quernus","EPQU","Serranidae","Grouper","PISCIVORE",122,"Serranidae","Piscivore","Reef",1
"295","Epinephelus retouti","EPRE","Serranidae","Grouper","PISCIVORE",50,"Serranidae","Piscivore","Reef",1
"296","Epinephelus socialis","EPSO","Serranidae","Grouper","PISCIVORE",52,"Serranidae","Piscivore","Reef",1
"297","Epinephelus sp","EPSP","Serranidae","Grouper","PISCIVORE",51,"Serranidae","Piscivore","Reef",1
"298","Epinephelus spilotoceps","EPSL","Serranidae","Grouper","PISCIVORE",35,"Serranidae","Piscivore","Reef",1
"299","Epinephelus tauvina","EPTA","Serranidae","Grouper","PISCIVORE",90,"Serranidae","Piscivore","Reef",1
"300","Euthynnus affinis","EUAF","Scombridae","Tuna","PISCIVORE",100,"Scombridae","Piscivore","Pelagic",0
"301","Eviota sp","EVSP","Gobiidae","Goby","SECONDARY",3,"Gobiidae","Detritivore","Reef",1
"302","Exallias brevis","EXBR","Blenniidae","Blenny","SECONDARY",14.5,"Blenniidae","Corallivore","Reef",1
"303","Exallias brevis","EXBR","Blenniidae","Blenny","SECONDARY",14.5,"Blenniidae","Corallivore","Reef",1
"304","Fistularia commersonii","FICO","Fistulariidae","Cornetfish","PISCIVORE",160,"Fistulariidae","Piscivore","Reef",1
"305","Fistularia commersonii","FICO","Fistulariidae","Cornetfish","PISCIVORE",160,"Fistulariidae","Piscivore","Pelagic",0
"306","Forcipiger flavissimus","FOFL","Chaetodontidae","Butterflyfish","SECONDARY",22,"Chaetodontidae","Micro-invertivore","Reef",1
"307","Forcipiger flavissimus","FOFL","Chaetodontidae","Butterflyfish","SECONDARY",22,"Chaetodontidae","Micro-invertivore","Reef",1
"308","Forcipiger longirostris","FOLO","Chaetodontidae","Butterflyfish","SECONDARY",22,"Chaetodontidae","Micro-invertivore","Reef",1
"309","Forcipiger longirostris","FOLO","Chaetodontidae","Butterflyfish","SECONDARY",22,"Chaetodontidae","Micro-invertivore","Reef",1
"310","Fusigobius duospilus","FUDU","Gobiidae","Goby","SECONDARY",6,"Gobiidae","Detritivore","Reef",1
"311","Genicanthus personatus","GEPE","Pomacanthidae","Angelfish","PLANKTIVORE",21,"Pomacanthidae","Planktivore","Reef",1
"312","Genicanthus watanabei","GEWA","Pomacanthidae","Angelfish","PLANKTIVORE",15,"Pomacanthidae","Planktivore","Reef",1
"313","Gnathodentex aureolineatus","GNAU","Lethrinidae","Emperor","SECONDARY",30,"Lethrinidae","Pisci-invertivore","Reef",1
"314","Gnathodentex aureolineatus","GNAU","Lethrinidae","Emperor","SECONDARY",30,"Lethrinidae","Pisci-invertivore","Reef",1
"315","Gobiodon citrinus","GOCI","Gobiidae","Goby","SECONDARY",5,"Gobiidae","Detritivore","Reef",1
"316","Gobiodon citrinus","GOCI","Gobiidae","Goby","SECONDARY",6.6,"Gobiidae","Detritivore","Reef",1
"317","Gomphosus varius","GOVA","Labridae","Wrasse","SECONDARY",30,"Labridae","Micro-invertivore","Reef",1
"318","Gracila albomarginata","GRAL","Serranidae","Grouper","PISCIVORE",40,"Serranidae","Piscivore","Reef",1
"319","Gracila albomarginata","GRAL","Serranidae","Grouper","PISCIVORE",40,"Epinephilidae","Piscivore","Reef",1
"320","Grammistes sexlineatus","GRSE","Serranidae","Grouper","SECONDARY",30,"Serranidae","Piscivore","Reef",1
"321","Gunnellichthys curiosus","GUCU","Microdesmidae","Wormfish","PLANKTIVORE",12,"Microdesmidae","Planktivore","Reef",1
"322","Gymnomuraena zebra","GYZE","Muraenidae","Moray","SECONDARY",150,"Muraenidae","Pisci-invertivore","Reef",1
"323","Gymnosarda unicolor","GYUC","Scombridae","Tuna","PISCIVORE",248,"Scombridae","Piscivore","Pelagic",0
"324","Gymnothorax breedeni","GYBR","Muraenidae","Moray","PISCIVORE",100,"Muraenidae","Piscivore","Reef",1
"325","Gymnothorax eurostus","GYEU","Muraenidae","Moray","SECONDARY",60,"Muraenidae","Piscivore","Reef",1
"326","Gymnothorax flavimarginatus","GYFL","Muraenidae","Moray","PISCIVORE",240,"Muraenidae","Piscivore","Reef",1
"327","Gymnothorax javanicus","GYJA","Muraenidae","Moray","PISCIVORE",300,"Muraenidae","Piscivore","Reef",1
"328","Gymnothorax melatremus","GYMT","Muraenidae","Moray","SECONDARY",30,"Muraenidae","Piscivore","Reef",1
"329","Gymnothorax meleagris","GYME","Muraenidae","Moray","PISCIVORE",120,"Muraenidae","Piscivore","Reef",1
"330","Gymnothorax sp","GYSP","Muraenidae","Moray","PISCIVORE",110,"Muraenidae","Piscivore","Reef",1
"331","Gymnothorax steindachneri","GYST","Muraenidae","Moray","PISCIVORE",91,"Muraenidae","Piscivore","Reef",1
"332","Gymnothorax undulatus","GYUN","Muraenidae","Moray","PISCIVORE",150,"Muraenidae","Piscivore","Reef",1
"333","Halichoeres biocellatus","HABI","Labridae","Wrasse","SECONDARY",12,"Labridae","Micro-invertivore","Reef",1
"334","Halichoeres hortulanus","HAHO","Labridae","Wrasse","SECONDARY",27,"Labridae","Micro-invertivore","Reef",1
"335","Halichoeres margaritaceus","HAMT","Labridae","Wrasse","SECONDARY",12.5,"Labridae","Micro-invertivore","Reef",1
"336","Halichoeres margaritaceus","HAMT","Labridae","Wrasse","SECONDARY",12.5,"Labridae","Micro-invertivore","Reef",1
