island,biomass,SE,group,allF,allFSE
Baker,50.57385136,10.0827551,Piscivores,154.6178251,41.93278266
Howland,43.54507905,4.306005825,Piscivores,168.0493277,32.25158777
Jarvis,102.9985039,11.6126893,Piscivores,220.2266197,23.50956496
Johnston,23.87763866,6.529727139,Piscivores,95.24112256,24.3846938
Kingman,198.1188961,17.94674736,Piscivores,311.1380676,29.07419603
Palmyra,68.97483323,6.643753206,Piscivores,164.8758316,16.48542839
Wake,12.19987896,2.794091721,Piscivores,56.6481616,5.23809896
Baker,68.74457761,39.24847841,Planktivores,,
Howland,91.24198496,30.81602589,Planktivores,,
Jarvis,64.51175418,19.56415901,Planktivores,,
Johnston,37.61402695,21.50351342,Planktivores,,
Kingman,68.39279038,13.68786286,Planktivores,,
Palmyra,32.25100261,8.887011403,Planktivores,,
Wake,5.883144098,1.151059125,Planktivores,,
Baker,23.29622783,3.548081665,Prim. cons.,,
Howland,18.54611265,1.666110276,Prim. cons.,,
Jarvis,36.98456315,2.298785835,Prim. cons.,,
Johnston,26.5994797,3.409934103,Prim. cons.,,
Kingman,30.78308004,10.72981393,Prim. cons.,,
Palmyra,40.52176552,8.400719442,Prim. cons.,,
Wake,26.77839305,2.491657092,Prim. cons.,,
Baker,12.00316833,1.626180512,Sec. cons.,,
Howland,14.71615107,2.680490833,Sec. cons.,,
Jarvis,15.73179846,1.3124194,Sec. cons.,,
Johnston,7.149977245,0.957731279,Sec. cons.,,
Kingman,13.84330107,2.082429251,Sec. cons.,,
Palmyra,23.12823021,3.190110878,Sec. cons.,,
Wake,11.78674549,2.841152785,Sec. cons.,,